id,full_name,first_name,last_name,is_active,league
78024,Mickey Rottner,Mickey,Rottner,False,NBA
78025,Dan Roundfield,Dan,Roundfield,False,NBA
78026,Giff Roux,Giff,Roux,False,NBA
78027,Ron Rowan,Ron,Rowan,False,NBA
78028,Curtis Rowe,Curtis,Rowe,False,NBA
1642050,Jackson Rowe,Jackson,Rowe,True,NBA
78029,Jim Rowinski,Jim,Rowinski,False,NBA
78030,Derrick Rowland,Derrick,Rowland,False,NBA
78031,Brian Rowsom,Brian,Rowsom,False,NBA
200750,Brandon Roy,Brandon,Roy,False,NBA
140,Donald Royal,Donald,Royal,False,NBA
78033,Bob Royer,Bob,Royer,False,NBA
32,Clifford Rozier,Clifford,Rozier,False,NBA
1626179,Terry Rozier,Terry,Rozier,True,NBA
201937,Ricky Rubio,Ricky,Rubio,False,NBA
2462,Guy Rucker,Guy,Rucker,False,NBA
78035,Delaney Rudd,Delaney,Rudd,False,NBA
78036,John Rudd,John,Rudd,False,NBA
204014,Damjan Rudez,Damjan,Rudez,False,NBA
78037,John Rudometkin,John,Rudometkin,False,NBA
1913,Michael Ruffin,Michael,Ruffin,False,NBA
460,Trevor Ruffin,Trevor,Ruffin,False,NBA
78039,Paul Ruffner,Paul,Ruffner,False,NBA
78040,Joe Ruklick,Joe,Ruklick,False,NBA
78041,Jeff Ruland,Jeff,Ruland,False,NBA
78042,Bob Rule,Bob,Rule,False,NBA
78043,Jerry Rullo,Jerry,Rullo,False,NBA
1641712,Rayan Rupert,Rayan,Rupert,True,NBA
474,Stefano Rusconi,Stefano,Rusconi,False,NBA
201575,Brandon Rush,Brandon,Rush,False,NBA
2416,Kareem Rush,Kareem,Rush,False,NBA
78049,Bill Russell,Bill,Russell,False,NBA
935,Bryon Russell,Bryon,Russell,False,NBA
78047,Campy Russell,Campy,Russell,False,NBA
78045,Cazzie Russell,Cazzie,Russell,False,NBA
1626156,D'Angelo Russell,D'Angelo,Russell,True,NBA
78046,Frank Russell,Frank,Russell,False,NBA
78048,Walker Russell,Walker,Russell,False,NBA
201041,Walker Russell,Walker,Russell,False,NBA
1642504,Cormac Ryan,Cormac,Ryan,True,NBA
1630346,Matt Ryan,Matt,Ryan,True,NBA
717,Arvydas Sabonis,Arvydas,Sabonis,False,NBA
1627734,Domantas Sabonis,Domantas,Sabonis,True,NBA
203135,Robert Sacre,Robert,Sacre,False,NBA
78050,Ed Sadowski,Ed,Sadowski,False,NBA
78051,Kenny Sailors,Kenny,Sailors,False,NBA
1642275,Tidjane Salaün,Tidjane,Salaün,True,NBA
927,John Salley,John,Salley,False,NBA
2422,John Salmons,John,Salmons,False,NBA
1089,Kevin Salvadori,Kevin,Salvadori,False,NBA
2066,Soumaila Samake,Soumaila,Samake,False,NBA
1629677,Luka Samanic,Luka,Samanic,False,NBA
200798,Cheikh Samb,Cheikh,Samb,False,NBA
1629102,Brandon Sampson,Brandon,Sampson,False,NBA
203960,JaKarr Sampson,JaKarr,Sampson,False,NBA
2441,Jamal Sampson,Jamal,Sampson,False,NBA
78055,Ralph Sampson,Ralph,Sampson,False,NBA
202396,Samardo Samuels,Samardo,Samuels,False,NBA
1631257,Jermaine Samuels Jr.,Jermaine,Samuels Jr.,True,NBA
2143,Pepe Sanchez,Pepe,Sanchez,False,NBA
78057,Frankie Sanders,Frankie,Sanders,False,NBA
1874,Jeff Sanders,Jeff,Sanders,False,NBA
202336,Larry Sanders,Larry,Sanders,False,NBA
2684,Melvin Sanders,Melvin,Sanders,False,NBA
78059,Mike Sanders,Mike,Sanders,False,NBA
78060,Thomas Sanders,Thomas,Sanders,False,NBA
1641766,Adama Sanogo,Adama,Sanogo,True,NBA
2091,Daniel Santiago,Daniel,Santiago,False,NBA
78061,Bob Santini,Bob,Santini,False,NBA
1630611,Gui Santos,Gui,Santos,True,NBA
78062,Wayne Sappleton,Wayne,Sappleton,False,NBA
1642259,Alexandre Sarr,Alexandre,Sarr,True,NBA
1630846,Olivier Sarr,Olivier,Sarr,False,NBA
987,Jason Sasser,Jason,Sasser,False,NBA
2219,Jeryl Sasser,Jeryl,Sasser,False,NBA
1631204,Marcus Sasser,Marcus,Sasser,True,NBA
203107,Tomas Satoransky,Tomas,Satoransky,False,NBA
2261,Kenny Satterfield,Kenny,Satterfield,False,NBA
78063,Frank Saul,Frank,Saul,False,NBA
78064,Woody Sauldsberry,Woody,Sauldsberry,False,NBA
78065,Fred Saunders,Fred,Saunders,False,NBA
78066,Don Savage,Don,Savage,False,NBA
2453,Predrag Savovic,Predrag,Savovic,False,NBA
78067,Alan Sawyer,Alan,Sawyer,False,NBA
2243,Brian Scalabrine,Brian,Scalabrine,False,NBA
2637,Alex Scales,Alex,Scales,False,NBA
78068,Dewayne Scales,Dewayne,Scales,False,NBA
78069,Frank Schade,Frank,Schade,False,NBA
78070,Ben Schadler,Ben,Schadler,False,NBA
78071,Herm Schaefer,Herm,Schaefer,False,NBA
78072,Bob Schafer,Bob,Schafer,False,NBA
1630648,Jordan Schakel,Jordan,Schakel,False,NBA
78073,Ben Scharnus,Ben,Scharnus,False,NBA
78074,Marv Schatzman,Marv,Schatzman,False,NBA
78075,Fred Schaus,Fred,Schaus,False,NBA
7,Dan Schayes,Dan,Schayes,False,NBA
78076,Dolph Schayes,Dolph,Schayes,False,NBA
78078,Ossie Schectman,Ossie,Schectman,False,NBA
88,Steve Scheffler,Steve,Scheffler,False,NBA
78080,Tom Scheffler,Tom,Scheffler,False,NBA
1631248,Baylor Scheierman,Baylor,Scheierman,True,NBA
78081,Dave Schellhase,Dave,Schellhase,False,NBA
101195,Luke Schenscher,Luke,Schenscher,False,NBA
78082,Herb Scherer,Herb,Scherer,False,NBA
368,Dwayne Schintzius,Dwayne,Schintzius,False,NBA
78084,Dale Schlueter,Dale,Schlueter,False,NBA
78085,Otto Schnellbacher,Otto,Schnellbacher,False,NBA
78086,Dick Schnittker,Dick,Schnittker,False,NBA
78087,Russ Schoene,Russ,Schoene,False,NBA
1629678,Admiral Schofield,Admiral,Schofield,False,NBA
78088,Dave Scholz,Dave,Scholz,False,NBA
78089,Milt Schoon,Milt,Schoon,False,NBA
96,Detlef Schrempf,Detlef,Schrempf,False,NBA
203471,Dennis Schröder,Dennis,Schröder,True,NBA
78091,Howie Schultz,Howie,Schultz,False,NBA
78092,Dick Schulz,Dick,Schulz,False,NBA
78093,John Schweitz,John,Schweitz,False,NBA
